"ID","reg1","reg2","reg3","reg4","home","chld","hinc","genf","wrat","avhv","incm","inca","plow","npro","tgif","lgif","rgif","tdon","tlag","agif","donr","damt","part"
60,0,0,0,1,1,2,7,1,0,172,33,54,20,22,47,15,12,14,5,11.22,0,0,"valid"
61,1,0,0,0,1,2,7,0,8,81,14,26,41,89,103,5,6,12,16,3.54,0,0,"train"
62,0,0,0,0,1,2,2,0,9,82,16,22,46,32,62,31,31,18,5,25.23,0,0,"valid"
63,0,1,0,0,1,4,5,1,8,104,20,35,28,84,83,48,43,16,6,15.81,NA,NA,"test"
64,0,1,0,0,1,1,4,0,4,135,22,41,16,88,346,16,9,15,7,12.79,NA,NA,"test"
65,0,0,1,0,1,2,4,1,9,281,38,64,3,96,305,53,17,17,7,22.13,1,15,"train"
66,1,0,0,0,1,4,1,0,8,179,41,54,10,58,75,28,30,15,4,20.02,0,0,"train"
67,0,0,0,1,1,3,2,0,2,149,18,32,36,83,115,11,14,23,4,10.82,0,0,"valid"
68,1,0,0,0,1,0,4,0,8,266,42,78,4,7,162,162,30,13,8,16.8,1,17,"valid"
69,0,1,0,0,1,0,5,1,9,109,27,30,21,112,299,5,5,16,7,5.25,1,12,"valid"
70,0,1,0,0,1,0,1,0,6,404,112,112,0,19,38,12,13,16,3,9.23,1,13,"train"
71,0,0,0,0,1,0,4,1,9,105,29,34,30,39,52,25,26,13,6,17.01,1,16,"train"
72,1,0,0,0,1,0,4,0,8,160,62,62,1,51,75,5,6,17,11,3.92,NA,NA,"test"
73,0,1,0,0,1,2,4,1,8,216,23,64,26,79,132,19,14,13,6,13.42,1,15,"train"
74,0,1,0,0,1,2,7,1,0,189,24,51,13,17,52,17,17,17,6,6.3,NA,NA,"test"
75,0,0,1,0,1,4,4,0,8,87,26,33,16,43,68,13,7,31,13,6.97,0,0,"valid"
76,1,0,0,0,1,0,4,0,9,118,32,34,22,109,111,15,13,16,11,7.29,1,15,"train"
77,0,1,0,0,1,2,2,1,3,124,31,32,15,42,105,6,7,21,3,4.45,NA,NA,"test"
78,0,0,1,0,1,2,4,1,8,123,19,26,36,87,114,50,26,13,4,18.16,NA,NA,"test"
79,0,0,1,0,1,2,2,0,8,187,41,49,11,77,125,18,10,15,4,7,0,0,"valid"
80,0,0,0,0,1,3,4,0,6,106,20,36,32,42,61,33,23,24,6,13.41,NA,NA,"test"
81,0,1,0,0,1,2,5,0,9,179,41,54,2,84,197,6,4,17,7,6.37,1,14,"train"
82,0,0,0,0,1,4,6,0,9,130,47,47,12,63,116,22,19,16,5,21.21,NA,NA,"test"
83,1,0,0,0,1,2,4,0,9,193,60,64,2,20,53,25,20,18,5,16.08,0,0,"train"
84,1,0,0,0,1,3,7,1,6,148,35,38,22,84,113,15,18,21,7,12.38,0,0,"train"
85,0,1,0,0,1,1,3,0,8,145,24,58,16,26,55,19,19,23,3,13.45,NA,NA,"test"
86,0,0,0,0,1,0,1,1,6,134,27,42,28,13,42,42,17,19,6,28.42,NA,NA,"test"
87,0,0,1,0,1,2,2,1,8,106,34,34,13,92,152,97,48,22,6,24.96,0,0,"train"
88,0,0,0,0,1,3,2,0,9,109,20,29,23,62,109,15,8,15,9,14,0,0,"train"
89,0,1,0,0,1,2,7,0,9,246,39,60,9,46,66,14,11,23,5,9.67,0,0,"train"
90,0,0,0,0,1,1,4,1,8,100,21,24,30,79,130,13,17,15,13,8.58,0,0,"train"
91,0,0,1,0,1,2,2,1,8,113,21,55,17,40,63,15,12,22,6,15.79,0,0,"valid"
92,0,0,0,1,1,2,5,1,8,194,58,60,2,73,126,22,14,28,4,10.98,0,0,"valid"
93,0,1,0,0,1,0,4,1,6,145,61,61,6,68,107,24,28,8,6,17.15,1,17,"train"
94,1,0,0,0,1,5,7,1,6,186,48,51,10,29,61,21,27,16,5,14.98,NA,NA,"test"
95,0,1,0,0,1,0,2,0,9,218,54,57,21,44,62,28,17,20,9,14.94,1,16,"train"
96,0,0,0,0,1,3,5,0,9,223,62,66,10,78,156,15,16,23,8,7.93,0,0,"valid"
97,0,1,0,0,0,2,1,0,8,137,46,46,12,17,45,23,15,20,12,11.27,0,0,"train"
98,1,0,0,0,1,0,4,1,8,144,39,56,14,46,103,6,5,21,10,5.23,1,12,"train"
99,0,1,0,0,1,2,4,1,9,244,55,93,3,41,67,13,8,21,7,10.26,1,13,"valid"
100,1,0,0,0,0,0,4,1,8,284,73,73,1,117,281,14,20,13,6,8.94,1,15,"train"
101,0,0,1,0,0,2,4,0,6,145,33,42,10,33,61,9,6,20,13,4.57,0,0,"train"
102,0,0,0,1,1,3,4,1,8,130,39,43,10,65,98,8,5,23,8,8.47,NA,NA,"test"
103,0,1,0,0,1,4,3,1,9,177,171,171,0,26,61,5,4,23,8,4.86,NA,NA,"test"
104,0,0,1,0,1,3,4,0,8,215,40,54,2,86,109,14,7,16,3,9.83,NA,NA,"test"
105,0,0,0,0,1,0,4,1,6,173,26,53,24,47,86,86,41,38,8,21.67,NA,NA,"test"
106,1,0,0,0,1,3,6,1,9,122,23,40,18,49,96,32,17,18,5,14.02,0,0,"train"
107,0,0,0,0,1,2,2,1,8,152,25,38,23,46,62,17,9,21,12,7.73,NA,NA,"test"
108,0,1,0,0,1,4,4,1,3,141,42,44,7,44,72,25,8,18,3,24.65,0,0,"valid"
109,0,1,0,0,0,2,4,0,8,177,23,66,23,67,111,26,24,14,15,22.2,0,0,"train"
110,0,1,0,0,1,5,1,0,3,129,27,36,21,61,104,4,7,38,5,5.8,0,0,"valid"
111,0,0,1,0,1,2,2,0,1,166,65,65,3,22,44,14,12,27,5,10.37,NA,NA,"test"
112,0,1,0,0,1,2,4,0,8,214,48,78,6,55,112,5,5,28,22,3.34,0,0,"train"
113,0,1,0,0,1,4,2,0,7,221,118,118,1,117,424,11,9,20,3,12.73,1,13,"train"
114,0,0,0,1,1,0,5,1,9,117,17,34,37,26,57,5,5,13,4,4.88,1,16,"valid"
115,0,1,0,0,1,3,4,0,8,148,20,48,23,45,77,4,6,17,4,4.58,0,0,"valid"
116,1,0,0,0,1,3,5,1,6,139,45,45,10,21,60,7,7,24,4,5.24,1,13,"train"
117,1,0,0,0,1,5,4,1,9,107,11,29,55,87,160,21,21,23,12,12.95,0,0,"train"
118,0,1,0,0,1,2,4,1,9,201,42,43,6,15,72,72,32,19,4,25.69,0,0,"train"
119,0,1,0,0,1,2,4,1,8,225,59,94,2,47,103,30,19,22,6,13.4,1,14,"train"
120,0,0,0,1,1,0,2,0,8,159,68,68,12,92,119,12,6,13,5,5.93,1,14,"train"
121,1,0,0,0,1,0,5,1,9,208,64,64,1,45,66,4,3,19,7,3.9,1,12,"valid"
122,0,0,0,0,1,0,3,1,4,173,25,46,12,52,88,9,11,22,4,4.73,1,12,"train"
123,1,0,0,0,1,1,4,0,3,161,25,43,18,83,106,39,15,17,29,13.28,NA,NA,"test"
124,0,0,0,1,1,5,6,0,1,186,43,72,12,40,56,34,16,19,7,19.3,0,0,"train"
125,0,0,0,1,1,2,3,0,7,419,82,105,0,5,43,6,7,9,8,3.77,NA,NA,"test"
126,0,0,0,0,1,0,4,1,9,169,38,49,12,53,56,8,8,12,8,6.85,1,13,"train"
127,0,1,0,0,1,0,4,1,8,105,31,37,11,36,69,6,5,14,8,4.69,1,13,"train"
128,0,0,0,0,0,2,2,1,9,243,54,66,1,33,57,7,8,21,9,7.06,0,0,"valid"
129,0,0,1,0,1,0,4,1,8,92,21,30,45,23,43,11,8,19,6,10.46,1,15,"train"
130,1,0,0,0,0,3,4,0,3,224,26,63,16,31,46,30,14,13,12,16.69,0,0,"train"
131,0,0,1,0,1,3,1,1,9,200,47,47,9,38,70,14,13,21,17,16.88,0,0,"train"
132,0,1,0,0,1,4,4,0,0,217,41,68,1,50,79,18,15,19,11,10.81,NA,NA,"test"
133,0,0,1,0,1,2,2,0,2,192,37,53,16,10,34,4,3,22,13,6.86,0,0,"train"
134,0,0,0,0,1,0,7,0,5,243,50,64,5,41,65,13,12,12,8,8.72,0,0,"valid"
135,0,0,0,1,0,2,6,1,8,200,42,61,16,24,40,5,9,22,5,6.32,0,0,"valid"
136,0,1,0,0,1,4,4,1,8,123,30,42,19,7,36,26,8,12,5,10.22,0,0,"valid"
137,0,0,0,0,1,0,4,0,9,173,36,40,28,81,96,10,6,19,3,7.76,1,15,"valid"
138,0,0,1,0,0,3,6,0,8,184,61,61,9,48,75,52,30,19,6,19.04,0,0,"train"
139,0,0,0,1,1,5,4,1,4,132,18,27,37,14,54,54,34,23,4,30.3,0,0,"valid"
140,0,0,1,0,1,5,5,0,9,170,71,71,7,88,82,5,3,34,7,5.44,0,0,"train"
141,0,1,0,0,1,2,3,0,8,140,27,36,14,36,56,10,17,20,11,7.73,NA,NA,"test"
142,1,0,0,0,1,0,6,0,4,137,23,30,23,36,82,43,25,17,3,19.25,1,16,"train"
143,0,1,0,0,1,1,5,1,4,130,45,45,9,118,256,25,26,24,6,18.27,1,15,"valid"
144,0,0,0,0,1,3,2,0,9,134,33,45,24,45,71,11,13,17,5,5.57,NA,NA,"test"
145,0,1,0,0,0,3,5,0,1,91,13,28,64,82,140,21,29,16,15,22.09,NA,NA,"test"
146,0,0,0,1,1,1,6,0,8,113,35,35,21,53,62,19,22,20,5,8.8,NA,NA,"test"
147,0,0,0,1,1,2,3,1,8,165,48,65,16,35,70,19,9,15,8,7.67,0,0,"train"
148,0,0,0,0,1,4,5,1,8,152,43,44,20,45,83,13,14,14,6,8.72,0,0,"train"
149,0,0,0,1,1,3,2,1,6,131,34,41,10,112,188,21,16,18,10,7.35,0,0,"train"
150,1,0,0,0,0,2,5,1,9,153,34,34,16,88,182,18,21,17,8,12.43,NA,NA,"test"
151,0,0,0,0,1,0,4,1,9,237,42,80,7,37,65,21,16,17,7,12.14,1,14,"train"
152,0,0,0,0,1,0,3,0,8,149,29,34,18,81,157,19,20,13,3,14.73,1,16,"train"
153,0,1,0,0,1,5,4,0,6,146,68,68,3,36,58,19,18,17,4,7.76,0,0,"train"
154,0,1,0,0,1,0,2,0,8,286,62,78,2,63,95,17,17,18,2,17.62,1,14,"valid"
155,0,0,1,0,0,0,4,1,5,102,17,32,45,43,76,16,7,22,7,10.1,0,0,"train"
156,0,1,0,0,1,2,1,1,8,268,83,103,6,62,217,217,65,14,9,37.99,NA,NA,"test"
157,0,0,0,0,1,2,6,1,8,368,117,142,0,68,135,19,17,16,10,13.67,0,0,"train"
158,0,1,0,0,1,0,2,1,0,202,76,76,11,128,213,13,6,18,11,8.78,NA,NA,"test"
159,0,0,0,0,1,2,6,1,9,152,22,49,28,96,171,8,5,31,5,8.4,0,0,"valid"
160,0,0,0,0,1,3,4,0,8,168,40,54,7,14,36,6,6,13,4,4.17,NA,NA,"test"
161,0,0,1,0,1,1,6,1,8,125,26,35,17,69,98,33,23,14,7,10.48,0,0,"valid"
162,0,0,0,0,1,0,4,0,4,136,55,55,1,61,112,95,45,15,7,25.48,1,18,"valid"
163,1,0,0,0,1,5,2,1,8,140,27,42,11,33,71,19,25,14,10,15.13,0,0,"train"
164,0,0,0,0,1,0,5,1,8,277,110,110,0,105,162,4,4,19,3,7.35,1,13,"valid"
165,0,1,0,0,1,4,4,1,9,182,42,53,7,120,200,16,17,14,10,10.16,1,13,"train"
166,0,0,0,0,1,2,5,0,4,229,63,76,4,40,77,8,7,16,4,7.87,NA,NA,"test"
167,0,0,0,0,0,3,4,1,8,159,43,53,3,48,76,14,14,19,3,13.45,0,0,"valid"
168,0,0,0,0,1,0,4,1,9,150,50,55,8,65,127,13,6,19,5,8.14,1,14,"train"
169,0,1,0,0,1,3,4,0,4,164,32,53,20,12,45,8,4,16,19,8.27,0,0,"train"
170,1,0,0,0,1,1,3,0,8,210,57,72,1,109,127,18,19,18,9,18.04,0,0,"valid"
171,0,0,0,0,1,1,3,1,4,169,24,42,8,24,53,9,8,23,3,6.93,NA,NA,"test"
172,0,0,0,1,1,2,4,1,8,233,149,149,0,130,162,17,17,18,9,14.63,1,16,"train"
173,0,0,0,1,0,2,4,0,7,124,28,32,16,75,85,74,40,13,4,27.32,0,0,"train"
174,0,1,0,0,1,2,1,0,8,123,26,35,13,40,73,23,32,17,5,11.62,NA,NA,"test"
175,0,1,0,0,0,4,4,0,7,156,39,53,4,88,164,10,5,12,5,4.58,0,0,"train"
176,1,0,0,0,1,2,6,1,9,132,26,44,25,89,136,18,19,14,4,14.2,NA,NA,"test"
177,0,0,0,0,1,0,4,0,4,214,67,93,0,121,248,9,9,13,12,6.91,1,14,"train"
178,0,0,0,0,1,2,2,1,8,114,26,38,21,93,141,60,30,18,6,17.19,NA,NA,"test"
179,0,0,0,1,1,2,4,1,9,220,58,58,5,25,62,20,20,18,3,19.17,1,17,"train"
180,1,0,0,0,0,2,2,0,6,105,25,29,19,27,58,24,28,11,2,11.84,0,0,"train"
181,0,0,0,1,0,0,4,0,9,195,30,62,5,33,49,15,8,23,4,8.59,NA,NA,"test"
182,0,0,1,0,1,2,2,0,9,122,38,38,15,89,141,13,13,23,4,7.69,0,0,"valid"
183,0,0,0,1,1,2,2,0,9,259,56,60,3,23,51,13,11,17,5,8.42,NA,NA,"test"
184,1,0,0,0,1,3,4,0,9,235,61,61,1,26,64,9,8,16,4,8.83,1,12,"train"
185,0,0,0,1,0,1,4,0,5,176,59,59,6,85,177,9,6,20,6,9.26,NA,NA,"test"
186,0,0,0,0,1,4,4,1,8,236,56,84,6,25,46,5,8,19,5,4.22,NA,NA,"test"
187,0,0,1,0,1,0,4,1,9,289,72,90,1,45,71,12,9,15,5,8.76,1,15,"train"
188,0,1,0,0,1,4,5,0,4,263,44,70,0,16,44,41,25,21,9,24.52,0,0,"valid"
189,0,0,0,0,0,2,2,0,4,111,20,41,32,24,53,12,10,15,4,12.76,0,0,"train"
190,1,0,0,0,1,0,3,0,9,209,49,63,4,101,338,15,13,14,10,11.81,1,15,"train"
191,0,0,0,0,1,5,4,0,8,99,18,25,45,68,177,177,39,19,12,33.27,0,0,"train"
192,0,1,0,0,1,0,4,1,7,95,19,30,38,88,158,14,8,22,3,9.62,1,15,"valid"
193,0,1,0,0,1,3,3,1,8,93,26,29,20,19,41,17,10,20,6,10.71,0,0,"train"
194,1,0,0,0,1,3,2,0,8,237,33,59,7,83,131,54,24,21,5,14.13,1,14,"train"
195,0,0,0,0,1,3,1,0,8,150,36,36,28,100,317,12,10,22,7,7.2,NA,NA,"test"
196,0,0,0,0,0,4,4,1,8,146,27,44,21,44,48,33,17,20,4,15.38,NA,NA,"test"
197,0,1,0,0,1,2,5,1,4,265,54,63,2,103,201,5,10,14,3,4.47,1,12,"valid"
198,0,1,0,0,1,2,4,1,9,190,50,54,3,22,48,33,35,22,3,15.65,1,14,"valid"
199,0,0,0,0,0,3,2,1,9,140,25,45,29,39,57,9,5,15,7,5.37,0,0,"valid"
200,0,1,0,0,0,2,4,1,2,113,43,46,2,114,127,101,42,17,3,21.77,0,0,"valid"
201,1,0,0,0,1,5,4,0,6,153,56,56,6,50,72,28,24,19,13,14.25,0,0,"train"
202,0,1,0,0,1,0,4,1,9,121,20,37,32,100,160,24,17,21,3,10.13,1,15,"train"
203,0,0,1,0,1,2,6,1,9,211,50,50,7,31,65,65,21,25,4,23.8,0,0,"train"
204,0,0,1,0,0,2,4,0,4,151,20,47,31,134,372,20,18,18,6,13.21,0,0,"train"
205,0,0,0,0,0,3,5,0,8,160,92,92,2,92,188,22,18,21,6,12.43,0,0,"valid"
206,0,1,0,0,0,0,5,0,8,119,19,25,40,34,59,19,10,21,4,14.58,0,0,"train"
207,1,0,0,0,0,2,4,0,8,217,68,68,0,92,175,28,9,22,9,14.79,0,0,"train"
208,1,0,0,0,1,0,5,1,4,240,41,73,3,34,63,11,6,17,7,7.69,1,14,"train"
209,1,0,0,0,1,3,3,0,8,125,20,42,37,73,192,12,12,19,7,7.73,0,0,"train"
210,0,1,0,0,1,3,3,0,8,179,35,56,17,70,98,3,1,23,6,5.37,NA,NA,"test"
211,0,0,0,0,1,0,4,1,9,192,53,68,4,79,134,8,5,24,9,4.08,NA,NA,"test"
212,0,0,1,0,1,1,4,1,8,69,18,23,32,16,38,7,8,13,17,7.11,0,0,"train"
213,0,1,0,0,1,0,2,1,8,76,21,27,41,53,72,25,16,24,7,9.65,1,14,"valid"
214,0,1,0,0,1,1,1,1,8,237,43,66,5,15,32,12,21,17,4,7.99,NA,NA,"test"
215,0,0,1,0,1,3,4,0,9,124,32,32,23,11,39,15,17,24,9,6.81,0,0,"valid"
216,0,0,0,1,1,1,2,1,6,110,39,39,22,62,113,5,4,14,4,7.25,NA,NA,"test"
217,1,0,0,0,1,0,5,0,7,145,30,37,16,70,93,6,4,13,14,5.71,NA,NA,"test"
218,0,0,1,0,1,1,5,1,9,162,39,43,9,27,39,6,6,12,21,6.44,0,0,"train"
219,0,0,0,0,1,2,1,1,7,180,39,45,14,95,247,47,28,23,6,16.38,0,0,"train"
220,1,0,0,0,1,3,4,1,8,108,37,37,12,44,71,30,41,16,7,12.93,1,14,"train"
221,0,1,0,0,1,4,5,0,1,174,36,43,7,19,44,16,7,18,12,13.06,0,0,"train"
222,0,0,0,0,1,2,2,1,9,66,22,28,33,44,59,7,7,15,13,6.52,0,0,"train"
223,0,0,1,0,0,2,7,1,8,261,45,67,4,49,92,76,32,11,3,18.9,0,0,"train"
224,1,0,0,0,1,0,4,1,9,179,31,50,12,104,179,8,4,16,10,4.15,NA,NA,"test"
225,0,1,0,0,0,2,5,1,9,144,23,34,17,12,54,6,5,20,9,7.9,0,0,"train"
226,0,0,0,0,1,1,4,1,6,146,60,60,3,89,140,18,9,14,5,14.6,1,15,"train"
227,0,0,0,1,1,0,4,1,9,81,12,23,56,77,180,20,12,17,16,17.43,0,0,"train"
228,0,0,0,1,1,0,4,1,9,182,37,55,12,51,243,243,173,17,15,18.17,1,19,"train"
229,1,0,0,0,1,2,1,0,8,77,14,23,55,63,114,12,8,19,9,7.88,NA,NA,"test"
230,0,1,0,0,1,2,4,1,6,311,91,91,1,77,94,13,5,15,5,6.85,1,16,"valid"
231,1,0,0,0,0,0,4,1,6,187,26,65,11,74,98,6,5,24,15,4.09,1,12,"valid"
232,0,0,0,1,1,0,1,1,9,118,20,34,35,93,137,5,5,15,8,4.51,0,0,"train"
233,1,0,0,0,1,2,1,1,8,201,18,53,22,26,53,53,17,22,12,16.34,0,0,"train"
234,0,0,1,0,1,2,6,1,8,126,37,37,17,41,73,3,2,12,18,2.89,0,0,"valid"
235,1,0,0,0,1,3,4,1,9,170,34,57,24,87,273,57,39,20,5,38.56,1,17,"valid"
236,1,0,0,0,1,0,3,1,6,210,40,74,12,23,33,5,6,23,14,5.21,1,12,"valid"
237,0,0,0,0,1,2,4,1,8,128,22,24,24,54,112,14,12,13,4,14.34,0,0,"valid"
238,1,0,0,0,1,2,4,0,9,142,53,58,6,15,43,9,8,18,10,6.3,0,0,"train"
239,0,0,0,1,1,2,2,0,0,207,40,48,2,68,107,30,17,18,8,18.62,NA,NA,"test"
240,0,1,0,0,1,0,4,0,6,199,46,63,9,88,103,21,24,23,15,16.64,1,16,"valid"
241,0,0,1,0,1,2,4,0,8,216,53,57,10,121,150,84,52,18,4,28.71,1,17,"valid"
242,1,0,0,0,1,1,4,1,6,222,44,68,11,69,98,21,29,13,5,24.95,1,16,"train"
243,0,1,0,0,1,2,4,1,6,131,38,38,13,56,114,18,14,19,8,10.05,1,14,"valid"
244,0,0,1,0,1,4,2,1,8,173,56,56,8,103,152,31,44,17,19,14.4,0,0,"train"
245,0,0,0,1,1,3,3,1,8,117,22,33,18,107,262,14,5,13,7,7.7,0,0,"train"
246,1,0,0,0,1,3,4,1,8,103,17,36,39,51,79,37,35,21,4,14.96,0,0,"valid"
247,0,1,0,0,1,2,4,1,9,186,38,39,16,80,199,34,21,18,2,12.45,1,14,"train"
248,0,0,0,1,1,0,5,0,9,206,28,57,3,75,129,17,9,22,11,9.61,1,19,"train"
249,0,0,0,0,1,2,3,1,8,353,57,100,2,78,95,27,20,16,7,15.02,0,0,"train"
250,0,0,1,0,1,2,7,1,1,193,31,47,11,58,70,15,15,18,12,10.72,NA,NA,"test"
251,0,1,0,0,1,3,4,0,9,144,20,33,41,56,85,35,21,17,2,14.07,1,16,"train"
252,0,1,0,0,1,0,5,1,5,114,31,31,27,111,111,20,18,12,17,15.64,1,16,"train"
253,0,0,1,0,1,2,1,0,3,167,39,42,22,26,69,31,19,21,2,17.76,NA,NA,"test"
254,1,0,0,0,0,0,4,1,8,298,46,81,10,119,135,11,4,15,4,9.89,1,13,"train"
255,0,0,1,0,1,0,2,1,7,190,46,56,4,49,256,256,69,14,12,19.25,0,0,"train"
256,0,1,0,0,1,2,4,0,8,233,59,64,2,93,164,10,16,15,8,5.1,1,13,"train"
257,0,1,0,0,1,4,6,1,9,155,26,68,14,20,59,15,10,35,7,8.21,0,0,"train"
258,1,0,0,0,1,4,3,1,9,301,133,133,0,86,128,17,22,19,7,12.25,1,13,"valid"
259,0,0,0,0,1,4,3,1,9,196,46,75,7,16,42,9,7,19,6,5.48,NA,NA,"test"
260,1,0,0,0,1,0,4,1,5,111,12,37,43,110,179,16,13,20,20,6.79,1,14,"train"
261,0,0,0,0,1,2,4,1,9,142,45,45,8,96,225,40,38,12,3,8.14,0,0,"valid"
262,0,0,0,0,1,2,5,1,8,310,54,86,1,66,94,19,14,22,12,10.17,0,0,"train"
