 columnname                     columntype    length description                                                                                                                                                                                                                                                     
 c117                           Char               3 Runway condition code                                                                                                                                                                                                                                           
 c118                           Char               2 Braking condition code                                                                                                                                                                                                                                          
 c143                           Char               4 Airport identification code of the accident/incident location, if on airport.                                                                                                                                                                                   
 c240                           Char               2 Wind direction                                                                                                                                                                                                                                                  
 c241                           Char               2 Wind speed in miles per hours                                                                                                                                                                                                                                   
 c242                           Char               1 Gust indicator flag                                                                                                                                                                                                                                             
 c243                           Char               2 Gust speed in miles per hour                                                                                                                                                                                                                                    
 c61                            VarChar            3 Including crew and passengers.                                                                                                                                                                                                                                  
 c62                            VarChar            3 Number of passengers onboard                                                                                                                                                                                                                                    
 c63                            VarChar            2 Number of passengers killed                                                                                                                                                                                                                                     
 c64                            VarChar            2 Number of passengers injured                                                                                                                                                                                                                                    
 c65                            VarChar            2 Number of flight crew members onboard                                                                                                                                                                                                                           
 c66                            VarChar            2 Number of flight crew members killed                                                                                                                                                                                                                            
 c67                            VarChar            2 Number of flight crew members injured                                                                                                                                                                                                                           
 c68                            VarChar            2 Number of cabin crew members onboard                                                                                                                                                                                                                            
 c69                            VarChar            2 Number of cabin crew members injured                                                                                                                                                                                                                            
 c70                            VarChar            2 Number of cabin crew members killed                                                                                                                                                                                                                             
 c71                            VarChar            2 Number of ground crew members injured                                                                                                                                                                                                                           
 c72                            VarChar            2 Number of ground crew members killed                                                                                                                                                                                                                            
 c73                            VarChar            2 Number of public/third party persons injured                                                                                                                                                                                                                    
 c74                            VarChar            2 Number of public/third party persons killed                                                                                                                                                                                                                     
 c76                            VarChar            3 Total Fatalities                                                                                                                                                                                                                                                
 c250                           VarChar            3 All injuries including crew passengers and public.                                                                                                                                                                                                              
 c205                           VarChar            8 Date that the case information is originally entered.                                                                                                                                                                                                           
 c206                           VarChar            8 Date the .19 form was received by the office.                                                                                                                                                                                                                   
 c207                           VarChar            8 Date the .4 form was received by the office.                                                                                                                                                                                                                    
 c208                           VarChar            8 Date that any supplemental data was received by the office.                                                                                                                                                                                                     
 c210                           VarChar            8 Date that the document was last modified.                                                                                                                                                                                                                       
 c41                            Char               2 Certificate type code of the pilot in command                                                                                                                                                                                                                   
 c43                            Char               1 Not used at present time.                                                                                                                                                                                                                                       
 c45                            Char               2 Rating code of the pilot in command                                                                                                                                                                                                                             
 c47                            Char               1 Any other rating code of the pilot in command .                                                                                                                                                                                                                 
 c49                            Char               1 Qualification code of the pilot in command .                                                                                                                                                                                                                    
 c50                            VarChar            2 Age of the pilot in command                                                                                                                                                                                                                                     
 c52                            Char               1 Profession code of the pilot in command                                                                                                                                                                                                                         
 c53                            VarChar            5 Total number of hours the pilot has flown in the specific make and model of the aircraft .                                                                                                                                                                      
 c54                            VarChar            3 Total number of hours in the last 90 days the pilot has flown this make and model                                                                                                                                                                               
 c55                            VarChar            5 Total number of hours in the last 90 days the pilot  has flown.                                                                                                                                                                                                 
 c56                            VarChar            5 Total number of hours the pilot has flown.                                                                                                                                                                                                                      
 c57                            Char               2 Residence region code of the pilot in command                                                                                                                                                                                                                   
 c58                            Char               4 Residence district office code of the pilot in command                                                                                                                                                                                                          
 c59                            Char               2 Residence state of the pilot in command                                                                                                                                                                                                                         
 c119                           Char             115 Partial remarks on reports and where space needs to be conserved.                                                                                                                                                                                               
 c120                           Char              30 Name of the owner / operator of aircraft                                                                                                                                                                                                                        
 c121                           Char               2 State of the owner / operator                                                                                                                                                                                                                                   
 c122                           Char               4 Designator code of the air operator (OPCD)                                                                                                                                                                                                                      
 c126                           Char              11 Certificate number of the air agency                                                                                                                                                                                                                            
 c127                           Char               2 Region of the air operator                                                                                                                                                                                                                                      
 c128                           Char               4 District office of the air operator                                                                                                                                                                                                                             
 c129                           Char               6 NTSB File number of the accident/incident.                                                                                                                                                                                                                      
 c130                           Char              20 Flight plan description                                                                                                                                                                                                                                         
 c78                            Char               2 Primary cause factor code                                                                                                                                                                                                                                       
 c80                            Char               1 Contributing factor code                                                                                                                                                                                                                                        
 c82                            Char               1 Persons involved code                                                                                                                                                                                                                                           
 c84                            Char               1 Supporting factor code                              TECHNICAL                                                                                                                                                                                                   
 c86                            Char               2 Secondary cause factor code                                                                                                                                                                                                                                     
 c88                            Char               1 Second contributing case code f                                                                                                                                                                                                                                 
 c90                            Char               1 Second persons involved code                                                                                                                                                                                                                                    
 c92                            Char               1 Second supporting factor code .               TECHNICAL                                                                                                                                                                                                         
 c94                            Char               2 Type of accident code                                                                                                                                                                                                                                           
 c96                            Char               2 Phase of flight code                                                                                                                                                                                                                                            
 c98                            Char               1 Damage code of aircraft.                                                                                                                                                                                                                                        
 c100                           Char               1 General cause category code                                                                                                                                                                                                                                     
 c111                           Char               3 Type of approach code                                                                                                                                                                                                                                           
 c123                           Char               1 Emergency Locator Transmitter on Board?           Y or N                                                                                                                                                                                                        
 c124                           Char               1 Y or N.                                                                                                                                                                                                                                                         
 c125                           Char               1  Y or N.                                                                                                                                                                                                                                                        
 c184                           Char               1 Supporting cause factor A code.            OPERATIONAL                                                                                                                                                                                                          
 c192                           Char               1 Supporting cause factor B code.            OPERATIONAL                                                                                                                                                                                                          
 c244                           Char               1 Flight plan code                                                                                                                                                                                                                                                
 c40                            Char              20 Certificate type text of the pilot in command                                                                                                                                                                                                                   
 c44                            Char              20 Rating description of the pilot in command                                                                                                                                                                                                                      
 c46                            Char              20 Any other rating description of the pilot in command                                                                                                                                                                                                            
 c48                            Char              20 Qualification description of the pilot in command                                                                                                                                                                                                               
 c51                            Char              20 Profession description of the pilot in command                                                                                                                                                                                                                  
 c77                            Char              20 Primary cause factor text                                                                                                                                                                                                                                       
 c79                            Char              20 Contributing factor text                                                                                                                                                                                                                                        
 c81                            Char              20 Persons involved text                                                                                                                                                                                                                                           
 c83                            Char              20 Supporting factor text                                TECHNICAL                                                                                                                                                                                                 
 c85                            Char              20 Second cause factor text                                                                                                                                                                                                                                        
 c87                            Char              20 Second contributing factor text                                                                                                                                                                                                                                 
 c89                            Char              20 Second persons involved text                                                                                                                                                                                                                                    
 c91                            Char              20 Second supporting factor text                   TECHNICAL                                                                                                                                                                                                       
 c93                            Char              20 Type of accident or incident text                                                                                                                                                                                                                               
 c95                            Char              20 Phase of flight text                                                                                                                                                                                                                                            
 c97                            Char              20 Damage text                                                                                                                                                                                                                                                     
 c99                            Char              20 General cause category text                                                                                                                                                                                                                                     
 c101                           Char              20 Primary type of flying text                                                                                                                                                                                                                                     
 c103                           Char              20 Secondary type of flying text                                                                                                                                                                                                                                   
 c105                           Char              20 Primary flying condition text                                                                                                                                                                                                                                   
 c107                           Char              20 Secondary flying condition text                                                                                                                                                                                                                                 
 c109                           Char              20 Light condition text                                                                                                                                                                                                                                            
 c131                           Char              20 First remedial action area text                                                                                                                                                                                                                                 
 c133                           Char              20 Remedial action taken text                                                                                                                                                                                                                                      
 c135                           Char              20 Second remedial action area text                                                                                                                                                                                                                                
 c137                           Char              20 Second remedial action taken text                                                                                                                                                                                                                               
 c146                           Char              30 Aid Text                                                                                                                                                                                                                                                        
 c148                           Char              30 Wing information of the aircraft text                                                                                                                                                                                                                           
 c150                           Char              30 Text for element C150                                                                                                                                                                                                                                           
 c154                           Char              30 Text for element C153.                                                                                                                                                                                                                                          
 c156                           Char              30 Type of engine.                                                                                                                                                                                                                                                 
 c158                           Char              30 Type of landing gear.                                                                                                                                                                                                                                           
 c161                           Char              20 Additional cause factor text                                                                                                                                                                                                                                    
 c163                           Char              20 2nd Additional cause factor text                                                                                                                                                                                                                                
 c183                           Char              20 Supporting Factor Text                           OPERATIONAL                                                                                                                                                                                                    
 c191                           Char              20 Supporting cause factor B text.              OPERATIONAL                                                                                                                                                                                                        
 c229                           VarChar            8 Date of Birth of PIC                                                                                                                                                                                                                                            
 c230                           VarChar            8 Date of birth of second Pilot                                                                                                                                                                                                                                   
 end_of_record                  VarChar            1 NULL                                                                                                                                                                                                                                                            

