Hospital,Geog. Region,Control,Service,Beds,Admissions,Census,Outpat. Visits,Births,Tot. Exp.,Payroll Exp.,Personnel
97,2,2,1,105,6251,64,103225,589,43323,17837,545
98,2,2,1,100,5335,62,172105,806,53578,28592,663
99,2,1,1,186,8184,131,87453,701,76537,33789,820
100,2,2,1,375,21169,265,331478,3968,188190,86172,2581
101,3,4,2,485,4112,456,109270,0,103822,58336,1298
102,3,2,2,64,1785,40,7749,0,8723,4871,126
103,3,1,1,495,21327,310,312733,3655,231187,100456,2534
104,3,3,1,114,538,72,0,0,16083,7789,251
105,3,3,2,62,883,19,5850,0,5283,2637,85
106,3,4,1,149,1897,112,69776,0,34946,23156,432
107,3,1,2,427,592,375,0,0,53604,34280,864
108,3,3,2,40,1049,15,0,0,4479,2171,66
109,3,2,1,129,9507,78,64109,3063,58597,22611,556
110,3,1,1,149,1589,123,13721,169,14738,7040,347
111,3,2,1,71,617,54,48469,66,7934,4130,239
112,3,2,1,256,7203,96,107440,827,88779,43895,973
113,1,3,1,153,6156,82,4170,570,35543,13390,439
114,1,1,2,1297,1407,1106,5551,0,73334,47273,1849
115,1,1,1,70,1609,30,14630,0,4937,3172,102
116,3,1,2,69,1666,56,6376,0,14307,7260,262
117,3,4,1,71,3477,36,238060,342,53307,22512,885
118,3,3,1,243,5667,127,161912,494,43013,20808,549
119,3,1,2,206,1499,180,0,0,21260,14755,611
120,3,4,1,62,1256,59,68886,0,29581,13762,330
121,5,2,1,219,9275,127,42058,0,160226,72855,1471
122,5,1,1,54,143,37,3224,0,3043,1637,75
123,5,4,1,24,1503,13,105101,286,21939,9481,262
124,5,2,1,151,1764,100,27889,235,17395,6604,328
125,3,3,1,160,3228,47,29179,339,26343,11304,377
126,3,1,1,262,3689,194,57144,398,36112,18621,575
127,3,2,1,296,14018,172,139741,1275,156543,58378,1916
128,5,3,1,671,37375,516,119462,5699,239458,100322,2620
129,5,3,1,184,7699,120,53313,1364,56221,18421,571
130,5,1,1,249,7931,179,88869,714,45034,24427,703
131,2,4,1,157,2018,140,102547,0,46804,22395,535
132,2,3,2,100,510,78,935,0,2082,1533,160
133,2,3,2,100,2271,68,13405,0,17874,7685,202
134,2,2,1,375,11821,186,184144,779,102559,47925,1330
135,2,2,1,123,4093,91,36172,0,36922,15160,370
136,2,1,1,457,16987,340,304839,2202,322786,170956,3123
137,5,1,1,263,19776,254,362424,3346,196619,81345,2745
138,5,2,1,160,7798,108,87511,1071,68084,30310,815
139,5,2,1,69,2814,61,64651,352,35452,18210,576
140,2,2,1,153,3611,174,69833,254,24702,12706,502
141,2,1,2,260,163,306,56662,0,50850,35000,808
142,2,3,2,34,213,28,0,0,4861,2032,50
143,2,2,1,479,4848,395,262583,699,55313,24742,728
144,2,2,1,973,24753,923,339009,2462,343160,188865,4087
145,2,1,1,440,21004,335,550588,3311,275305,147417,3012
146,1,2,1,51,111,46,1257,0,2435,1053,68
147,1,1,1,347,19026,316,287498,4207,180781,83474,3090
148,1,4,2,612,3378,416,129088,0,104009,55542,1358
149,1,1,1,141,4080,74,54460,339,31187,15242,576
150,1,2,1,115,2030,86,32678,130,13706,5352,284
151,3,2,1,50,944,38,14995,91,6885,3841,145
152,3,2,1,261,10112,147,86607,1143,155709,78535,2312
153,3,4,2,334,4410,232,109111,0,80088,43948,1124
154,3,1,2,228,515,138,0,0,27911,17394,336
155,3,2,1,85,3233,38,67906,509,26229,12487,415
156,3,2,1,357,14900,245,279079,1026,143322,72409,1779
157,3,1,2,189,1076,171,0,0,27683,17784,338
158,3,3,1,139,4014,51,59061,447,36847,10861,453
159,3,4,1,60,3108,28,202739,1161,27790,14969,437
160,3,1,2,164,1132,797,42432,0,12990,7256,261
161,7,2,1,105,7528,56,98805,922,48914,23004,609
162,7,1,1,114,6685,69,27365,562,48855,24584,647
163,7,1,1,73,568,40,11443,78,6148,2917,61
164,7,4,1,314,8408,163,289471,0,176241,86574,2074
165,7,2,1,350,17484,231,196534,2122,173817,80414,2232
166,2,1,2,602,570,523,0,0,62703,38412,948
167,2,4,1,74,1426,31,85674,0,41680,16082,409
168,2,2,2,53,1963,43,848,0,6584,4779,153
169,2,2,1,152,5373,66,65824,710,38863,16583,741
170,2,2,1,317,14275,231,162753,1165,131696,70732,1625
171,1,4,1,43,1438,11,287501,466,43490,25993,538
172,1,3,1,269,11508,144,172047,1106,84731,28639,789
173,1,3,1,79,4044,43,83963,376,39452,11190,395
174,3,4,1,181,3217,185,169698,0,71806,39192,956
175,3,2,1,122,2938,82,65898,637,26355,10272,362
176,1,2,2,65,3246,49,51167,0,14183,7723,144
177,1,3,1,97,2481,24,62150,352,15241,6424,229
178,1,3,1,169,5348,63,64834,447,38483,11568,396
179,1,2,1,407,16466,274,134581,1227,148287,54588,2256
180,1,3,1,160,6504,93,30246,963,54167,21347,731
181,1,4,1,117,12209,86,813369,3038,118076,51986,1477
182,1,3,2,80,1266,28,3813,0,6026,3084,102
183,1,3,2,100,767,25,5742,0,6390,2695,106
184,1,3,1,370,8974,181,53406,868,80866,30372,939
185,5,3,1,123,4085,39,56073,1189,31770,10260,392
186,5,1,1,380,16647,302,31412,2849,241842,98138,3516
187,5,2,1,149,8479,80,209595,1728,56095,21266,785
188,5,2,1,112,7260,63,163261,2171,43977,21292,607
189,2,2,1,61,2730,31,59584,364,23025,9410,273
190,2,2,2,219,2161,170,14923,0,31366,18090,630
191,1,1,1,260,13943,203,138404,2993,97659,42580,1379
192,1,2,1,350,12132,296,100323,0,96458,45898,1108
193,1,3,1,121,7894,83,85585,1964,46491,21744,583
194,7,2,1,206,4567,84,107027,601,39836,20671,514
195,7,1,1,70,2089,29,24369,387,17257,7425,216
196,7,2,1,334,15696,187,102641,1946,168045,78118,1593
197,7,2,1,190,6395,77,244254,545,79859,33639,1055
198,5,1,2,122,441,104,0,0,15321,8878,399
199,5,1,1,170,7244,85,167454,838,58247,25018,834
200,5,1,1,73,352,47,9714,51,4565,2228,104
